CustomerID,Name,Email,Phone,JoinDate,Status
C001,Brandon Russell,grayanna@christian-moore.com,625310172753,4/19/2024,Active
C002,Ashley Williams,kristysmith@berry-baker.com,626456926248,11/28/2024,Inactive
C003,Kelly Barnes,jessicamiller@barrett-jackson.com,627525366896,11/05/2024,Active
C004,Alexandria Bell,upatel@fowler.com,621026405552,6/13/2024,Inactive
C005,David Bell,awalters@gmail.com,625494447349,4/22/2024,Inactive
C006,John Potter,obailey@hotmail.com,621051596313,4/15/2024,Active
C007,Matthew Moon,david58@gmail.com,621395882692,2/18/2024,Active
C008,Shelby Robertson,vincent85@barry.com,623974677964,03/03/2024,Inactive
C009,David Greene,angela28@hartman.info,623144832427,6/28/2024,Suspended
C010,Kevin Vazquez,qcox@yahoo.com,622037191550,05/10/2024,Suspended
C011,Edward Odonnell,raymondbrett@yahoo.com,622233955471,7/29/2024,Inactive
C012,Denise Friedman,smithdonna@anderson.net,623263122693,12/02/2024,Inactive
C013,Mrs. Jasmine Watts,justin65@williams-smith.com,621099435662,04/06/2024,Active
C014,Ashley Salazar,abigailweeks@hotmail.com,626415897690,3/21/2024,Active
C015,Dana Clark,smithdiana@hotmail.com,623955952033,07/06/2024,Active
C016,Isaiah Hernandez,qwalker@myers-lopez.com,628741939121,05/04/2024,Inactive
C017,Daniel Zuniga,watkinsmark@deleon.biz,623043725571,2/13/2024,Suspended
C018,Jeffrey Harris,browndanny@hotmail.com,629045125642,1/22/2024,Inactive
C019,Dorothy Caldwell,lisabrown@gmail.com,626908118811,7/21/2024,Suspended
C020,Mark Bradford,michael05@blake.com,627438349326,04/07/2024,Active
C021,Kristen Stephens,greenanthony@hotmail.com,624154582798,02/07/2024,Active
C022,Brandon Green,hestermark@delacruz.com,626136364193,12/19/2023,Active
C023,David Smith,leahmiller@hotmail.com,623509096784,9/21/2024,Inactive
C024,Eric Harper,wadekyle@gmail.com,620091731173,7/27/2024,Active
C025,Shannon Dawson,duffymichelle@gmail.com,625027745722,5/16/2024,Suspended
C026,Clarence Barrett,millerjason@hotmail.com,628389844796,11/14/2024,Inactive
C027,Stefanie Munoz,gibsondiana@lindsey.com,626409897677,10/25/2024,Active
C028,Jason Thompson,hallpatrick@hunter.com,624880958761,9/27/2024,Active
C029,Amy Black,sarah22@jackson.com,624702921884,06/01/2024,Inactive
C030,Sherry Foster,shancock@baird.info,629108497639,9/13/2024,Suspended
C031,David Lopez,lisacopeland@yahoo.com,623445375290,07/06/2024,Inactive
C032,John Fisher,lindseyisaac@gmail.com,628993460149,03/01/2024,Active
C033,Austin Meyers,therring@gmail.com,623016987112,06/08/2024,Active
C034,Frank Bryan,jacqueline25@hotmail.com,628207175487,12/06/2024,Active
C035,Christina Olson,dsims@yahoo.com,628920853818,2/19/2024,Suspended
C036,Rachel Wallace,kimberlythompson@hotmail.com,629901559161,4/30/2024,Active
C037,Betty Oconnell,dmoore@yahoo.com,621049539872,2/27/2024,Active
C038,Gary Wade,benjamin30@lewis-thompson.info,625946246954,7/31/2024,Active
C039,James Johnson,ryan92@hotmail.com,624470071612,2/22/2024,Inactive
C040,Steven Wilson,jaclynporter@hotmail.com,628723477275,03/07/2024,Inactive
C041,Mrs. Michelle Davis,djones@yahoo.com,626470242160,9/14/2024,Suspended
C042,William Watson Jr.,joseph81@gmail.com,629955214352,03/08/2024,Inactive
C043,Nicole Cabrera,kwatson@holder-diaz.biz,623036765371,06/08/2024,Inactive
C044,Lisa Montes,qrogers@young.com,629554536402,5/15/2024,Inactive
C045,Debbie Harrington,charlesyang@yahoo.com,621577795379,6/16/2024,Active
C046,Crystal Holmes,tiffany23@smith.com,629173105036,09/01/2024,Inactive
C047,Sierra Sims,michelle42@hotmail.com,622712374211,8/13/2024,Inactive
C048,Kristy Wong,diana23@yahoo.com,623098117716,07/03/2024,Suspended
C049,Brooke Crawford,drewgraham@estrada.info,621903761964,07/05/2024,Inactive
C050,Paul Morse,stephaniebarnett@brown.com,625572467384,7/13/2024,Active
C051,Lauren Johnson,kimberly10@yahoo.com,628799420146,3/21/2024,Suspended
C052,David Johnson,thomastran@martin.org,625169767964,02/11/2024,Suspended
C053,David Miller,cody30@hotmail.com,629211494205,3/23/2024,Suspended
C054,George Owens,ewashington@copeland.info,624118006073,11/15/2024,Suspended
C055,Timothy Shields,hillwalter@jenkins-daniel.info,622715394324,2/22/2024,Inactive
C056,Danny Wong,davisnancy@gmail.com,623789610566,1/29/2024,Active
C057,Cameron Castillo,tammymercer@hotmail.com,625321170162,4/19/2024,Inactive
C058,Jessica Miller,xwatson@johnson.info,629026160867,05/05/2024,Suspended
C059,Jennifer Blair,alangordon@gmail.com,625240700899,05/08/2024,Suspended
C060,Wayne Hutchinson,leesteve@gmail.com,626529926807,01/10/2024,Inactive
C061,Dana Shah,heathersalas@gmail.com,626386746591,2/27/2024,Suspended
C062,Steven Hartman,powelldonald@hotmail.com,623693974601,04/12/2024,Suspended
C063,Dr. Jason Hubbard DDS,ywalker@gmail.com,628982785041,10/16/2024,Suspended
C064,Sarah Rowe,jonathanmitchell@burgess.com,620188635042,4/17/2024,Suspended
C065,Victoria Rubio,tamaraparsons@gmail.com,627488090813,2/20/2024,Suspended
C066,Christopher Woods,justin60@brown.com,629942406675,04/07/2024,Inactive
C067,George Perry,patricialewis@ellis.com,626598668338,05/08/2024,Suspended
C068,Tricia Williams,jonathan85@gross.net,628849398703,12/01/2024,Suspended
C069,Charles Oneill,hilldavid@gmail.com,621762356957,12/06/2024,Inactive
C070,Amy Lewis,brandonnorris@zhang.com,626885044214,11/16/2024,Inactive
C071,Robin Carr,smithjessica@bell.info,626006378729,01/09/2024,Suspended
C072,Richard Shannon,tonya26@yahoo.com,629842292342,10/06/2024,Active
C073,Robin Manning,amanda57@hotmail.com,620264358107,4/16/2024,Suspended
C074,Jacqueline Velasquez,belindarogers@yahoo.com,623158979905,9/25/2024,Active
C075,Peter West,smithbrandon@gmail.com,621278603001,08/11/2024,Suspended
C076,Sarah Snyder,carterjordan@nelson-serrano.com,625180723086,12/05/2024,Active
C077,Jessica Roberts,gilbertortega@nelson.biz,629857846135,4/30/2024,Inactive
C078,Ricardo Jackson,james67@hotmail.com,622170226684,01/05/2024,Suspended
C079,Andre Petersen,jennifermartin@hall.org,629752198589,9/17/2024,Inactive
C080,Mary Fischer,matthew00@hotmail.com,621321928264,4/24/2024,Active
C081,Monique Stewart,xgreen@johnson.com,625056812300,9/18/2024,Inactive
C082,Shannon Ferguson,nathan94@hotmail.com,621590579499,10/22/2024,Inactive
C083,Donald Mathis,marco91@jensen-delacruz.net,621952993779,8/31/2024,Suspended
C084,Marcus Donaldson,ashleyshea@miller-howard.com,628760906252,12/12/2024,Inactive
C085,Benjamin Peck,okaufman@yahoo.com,623809532773,2/13/2024,Active
C086,Lauren Miller,tinabrooks@lee.com,626728653473,6/21/2024,Suspended
C087,James Carter,dmay@crawford.org,623147295580,03/06/2024,Inactive
C088,Ariel Franklin,jessicachen@flores-rodriguez.com,624946857229,1/15/2024,Inactive
C089,William Davis,katherine67@graham.com,628810249387,11/04/2024,Suspended
C090,Brittany Roberts,brenda72@yahoo.com,626889021979,11/16/2024,Inactive
C091,Andrew Ferguson,opeterson@peterson-crawford.com,620567904694,10/09/2024,Active
C092,David Ball,zsmith@medina.com,624188005191,7/30/2024,Active
C093,Sarah Neal,david67@daugherty.com,621028208035,06/01/2024,Suspended
C094,Allen Ramos,annsantiago@hotmail.com,622237197319,08/10/2024,Active
C095,Arthur Miller,zdoyle@bishop-arias.com,627879761598,02/07/2024,Suspended
C096,James Lewis,teresatownsend@mayo.net,628831782999,3/15/2024,Inactive
C097,Douglas Ramirez,linda42@green.info,620930667922,7/23/2024,Active
C098,Chad Walker,robertsondebra@harris.org,627157706852,3/31/2024,Inactive
C099,Samantha Beasley,rlewis@gmail.com,621980554081,12/03/2024,Active
C100,Christopher Young,gordonlaura@vargas-phillips.com,629077528482,02/03/2024,Inactive
